timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1663200000,9.9,0.0
1663203600,9.8,0.0
1663207200,9.8,0.0
1663210800,9.6,0.0
1663214400,9.5,0.0
1663218000,9.3,0.0
1663221600,9.1,0.002
1663225200,9.9,0.061
1663228800,10.9,0.16
1663232400,11.4,0.228
1663236000,11.9,0.3
1663239600,12.1,0.352
1663243200,11.9,0.33
1663246800,12.5,0.482
1663250400,12.0,0.334
1663254000,12.4,0.297
1663257600,11.4,0.223
1663261200,10.9,0.152
1663264800,10.5,0.056
1663268400,9.6,0.003
1663272000,9.2,0.0
1663275600,8.9,0.0
1663279200,8.8,0.0
1663282800,8.6,0.0
1663286400,8.7,0.0
1663290000,8.6,0.0
1663293600,8.8,0.0
1663297200,8.8,0.0
1663300800,8.4,0.0
1663304400,8.2,0.0
1663308000,8.1,0.001
1663311600,9.0,0.057
1663315200,10.1,0.175
1663318800,11.1,0.279
1663322400,11.2,0.368
1663326000,11.4,0.375
1663329600,11.3,0.386
1663333200,11.7,0.401
1663336800,11.7,0.355
1663340400,11.1,0.258
1663344000,11.3,0.251
1663347600,10.6,0.138
1663351200,9.8,0.047
1663354800,9.5,0.002
1663358400,9.2,0.0
1663362000,9.1,0.0
1663365600,9.1,0.0
1663369200,8.6,0.0
1663372800,9.1,0.0
1663376400,8.8,0.0
1663380000,8.9,0.0
1663383600,8.7,0.0
1663387200,8.9,0.0
1663390800,9.1,0.0
1663394400,9.1,0.001
1663398000,9.9,0.038
1663401600,10.9,0.122
1663405200,11.8,0.257
1663408800,12.3,0.308
1663412400,12.4,0.334
1663416000,12.0,0.357
1663419600,12.6,0.265
1663423200,12.8,0.224
1663426800,12.7,0.273
1663430400,12.5,0.216
1663434000,11.9,0.13
1663437600,10.9,0.048
1663441200,10.1,0.002
1663444800,9.6,0.0
1663448400,9.6,0.0
1663452000,9.6,0.0
1663455600,9.9,0.0
1663459200,10.3,0.0
1663462800,10.4,0.0
1663466400,10.4,0.0
1663470000,10.4,0.0
1663473600,10.4,0.0
1663477200,10.1,0.0
1663480800,9.9,0.0
1663484400,9.9,0.01
1663488000,10.1,0.034
1663491600,10.1,0.045
1663495200,10.4,0.135
1663498800,10.7,0.203
1663502400,10.6,0.368
1663506000,11.6,0.25
1663509600,12.5,0.341
1663513200,12.6,0.343
1663516800,12.2,0.198
1663520400,11.6,0.158
1663524000,10.6,0.053
1663527600,9.6,0.001
1663531200,8.9,0.0
1663534800,8.1,0.0
1663538400,7.3,0.0
1663542000,6.9,0.0
1663545600,6.5,0.0
1663549200,6.3,0.0
1663552800,7.2,0.0
