timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1517443200,2.3,0.0
1517446800,2.0,0.0
1517450400,2.0,0.0
1517454000,2.2,0.0
1517457600,3.2,0.0
1517461200,3.3,0.0
1517464800,3.0,0.0
1517468400,2.3,0.0
1517472000,2.6,0.002
1517475600,3.8,0.068
1517479200,5.0,0.177
1517482800,6.1,0.275
1517486400,6.7,0.304
1517490000,6.8,0.305
1517493600,6.3,0.233
1517497200,6.2,0.17
1517500800,5.8,0.071
1517504400,5.2,0.011
1517508000,4.7,0.0
1517511600,4.2,0.0
1517515200,3.6,0.0
1517518800,3.4,0.0
1517522400,2.8,0.0
1517526000,2.5,0.0
1517529600,2.5,0.0
1517533200,2.5,0.0
1517536800,2.2,0.0
1517540400,2.3,0.0
1517544000,2.6,0.0
1517547600,2.6,0.0
1517551200,3.8,0.0
1517554800,3.8,0.0
1517558400,3.0,0.002
1517562000,3.7,0.058
1517565600,4.7,0.155
1517569200,5.8,0.244
1517572800,6.8,0.312
1517576400,7.2,0.153
1517580000,7.1,0.191
1517583600,6.8,0.123
1517587200,6.3,0.088
1517590800,4.4,0.018
1517594400,3.2,0.0
1517598000,2.8,0.0
1517601600,1.8,0.0
1517605200,1.0,0.0
1517608800,0.8,0.0
1517612400,0.9,0.0
1517616000,1.5,0.0
1517619600,1.1,0.0
1517623200,0.9,0.0
1517626800,0.9,0.0
1517630400,1.4,0.0
1517634000,1.5,0.0
1517637600,1.8,0.0
1517641200,1.5,0.0
1517644800,1.8,0.001
1517648400,2.5,0.022
1517652000,3.1,0.048
1517655600,3.5,0.081
1517659200,3.7,0.098
1517662800,3.9,0.08
1517666400,4.0,0.071
1517670000,4.0,0.065
1517673600,3.8,0.031
1517677200,3.2,0.006
1517680800,2.9,0.0
1517684400,2.6,0.0
1517688000,2.2,0.0
1517691600,2.4,0.0
1517695200,2.7,0.0
1517698800,2.7,0.0
1517702400,1.9,0.0
1517706000,1.5,0.0
1517709600,1.7,0.0
1517713200,1.5,0.0
1517716800,0.4,0.0
1517720400,0.5,0.0
1517724000,0.6,0.0
1517727600,0.9,0.0
1517731200,1.4,0.002
1517734800,2.2,0.053
1517738400,3.5,0.189
1517742000,4.6,0.294
1517745600,4.9,0.346
1517749200,5.0,0.217
1517752800,5.2,0.212
1517756400,5.2,0.126
1517760000,4.5,0.094
1517763600,3.6,0.02
1517767200,2.5,0.0
1517770800,1.5,0.0
1517774400,1.1,0.0
1517778000,0.6,0.0
1517781600,0.3,0.0
1517785200,0.1,0.0
1517788800,-0.2,0.0
1517792400,-0.3,0.0
1517796000,-0.6,0.0
1517799600,-0.9,0.0
1517803200,-1.2,0.0
1517806800,-1.1,0.0
1517810400,-1.2,0.0
1517814000,-1.4,0.0
1517817600,-1.0,0.004
1517821200,0.5,0.08
1517824800,2.0,0.183
1517828400,3.5,0.249
1517832000,3.8,0.266
1517835600,3.9,0.215
1517839200,3.8,0.233
1517842800,3.5,0.181
1517846400,2.8,0.102
1517850000,1.5,0.026
1517853600,0.9,0.0
1517857200,0.3,0.0
1517860800,-0.3,0.0
1517864400,-0.1,0.0
1517868000,0.4,0.0
1517871600,0.1,0.0
1517875200,-0.1,0.0
1517878800,-0.1,0.0
1517882400,-0.6,0.0
1517886000,-0.5,0.0
1517889600,-0.2,0.0
1517893200,-0.3,0.0
1517896800,-0.6,0.0
1517900400,-0.9,0.0
1517904000,-1.4,0.005
1517907600,-0.1,0.068
1517911200,1.2,0.184
1517914800,2.5,0.292
1517918400,3.3,0.316
1517922000,3.6,0.303
1517925600,3.6,0.274
1517929200,3.5,0.23
1517932800,2.9,0.102
1517936400,1.5,0.026
1517940000,0.5,0.0
1517943600,-0.2,0.0
1517947200,-1.2,0.0
1517950800,-2.5,0.0
1517954400,-2.8,0.0
1517958000,-2.4,0.0
1517961600,0.3,0.0
1517965200,1.0,0.0
1517968800,1.4,0.0
1517972400,1.6,0.0
1517976000,1.5,0.0
1517979600,1.0,0.0
1517983200,1.1,0.0
1517986800,1.2,0.0
1517990400,1.0,0.003
1517994000,1.2,0.05
1517997600,1.8,0.172
1518001200,2.8,0.292
1518004800,3.8,0.341
1518008400,4.8,0.35
1518012000,5.0,0.281
1518015600,4.8,0.161
1518019200,4.3,0.098
1518022800,1.9,0.028
1518026400,0.8,0.0
1518030000,-0.4,0.0
1518033600,-1.4,0.0
1518037200,-1.9,0.0
1518040800,-1.9,0.0
1518044400,-3.2,0.0
1518048000,-2.8,0.0
1518051600,-3.1,0.0
1518055200,-3.5,0.0
1518058800,-3.3,0.0
1518062400,-3.2,0.0
1518066000,-2.9,0.0
1518069600,-2.8,0.0
1518073200,-2.5,0.0
1518076800,-1.5,0.007
1518080400,0.9,0.091
1518084000,3.2,0.199
1518087600,4.8,0.228
1518091200,5.3,0.191
1518094800,6.0,0.128
1518098400,5.8,0.061
1518102000,6.1,0.067
1518105600,5.8,0.036
1518109200,5.5,0.01
1518112800,5.4,0.0
1518116400,5.8,0.0
1518120000,5.8,0.0
1518123600,5.8,0.0
1518127200,5.4,0.0
1518130800,5.2,0.0
1518134400,5.2,0.0
1518138000,5.6,0.0
1518141600,5.6,0.0
1518145200,5.4,0.0
1518148800,5.3,0.0
1518152400,5.8,0.0
1518156000,6.1,0.0
1518159600,5.8,0.0
1518163200,4.8,0.001
1518166800,4.0,0.018
1518170400,3.9,0.055
1518174000,4.8,0.255
1518177600,5.0,0.316
1518181200,5.0,0.238
1518184800,5.5,0.176
1518188400,5.6,0.221
1518192000,5.1,0.145
1518195600,4.0,0.042
1518199200,3.0,0.0
1518202800,2.4,0.0
1518206400,1.9,0.0
1518210000,1.4,0.0
1518213600,0.8,0.0
1518217200,0.2,0.0
1518220800,-0.4,0.0
1518224400,-0.9,0.0
1518228000,-1.4,0.0
1518231600,-1.9,0.0
1518235200,-2.2,0.0
1518238800,-2.8,0.0
1518242400,-2.3,0.0
1518246000,-1.5,0.0
1518249600,0.6,0.006
1518253200,2.9,0.052
1518256800,5.1,0.106
1518260400,6.3,0.124
1518264000,6.1,0.121
1518267600,6.4,0.076
1518271200,6.8,0.058
1518274800,6.8,0.022
1518278400,6.6,0.016
1518282000,7.1,0.005
1518285600,7.5,0.0
1518289200,7.9,0.0
1518292800,8.4,0.0
1518296400,8.6,0.0
1518300000,9.0,0.0
1518303600,9.6,0.0
1518307200,9.6,0.0
1518310800,9.8,0.0
1518314400,8.2,0.0
1518318000,6.2,0.0
1518321600,4.7,0.0
1518325200,4.2,0.0
1518328800,3.8,0.0
1518332400,3.2,0.0
1518336000,2.9,0.011
1518339600,3.8,0.109
1518343200,4.9,0.229
1518346800,5.8,0.33
1518350400,6.3,0.324
1518354000,6.3,0.351
1518357600,6.2,0.335
1518361200,5.6,0.239
1518364800,4.7,0.121
1518368400,3.5,0.035
1518372000,2.5,0.0
1518375600,2.1,0.0
1518379200,1.5,0.0
1518382800,1.0,0.0
