timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1664582400,11.6,0.0
1664586000,11.2,0.0
1664589600,10.7,0.0
1664593200,10.4,0.0
1664596800,10.1,0.0
1664600400,9.9,0.0
1664604000,10.0,0.0
1664607600,10.6,0.025
1664611200,12.0,0.144
1664614800,13.4,0.274
1664618400,14.6,0.39
1664622000,15.5,0.381
1664625600,16.1,0.516
1664629200,16.6,0.49
1664632800,16.9,0.438
1664636400,16.6,0.343
1664640000,16.0,0.237
1664643600,15.0,0.116
1664647200,13.9,0.016
1664650800,13.2,0.0
1664654400,12.7,0.0
1664658000,12.1,0.0
1664661600,11.8,0.0
1664665200,11.9,0.0
1664668800,12.0,0.0
1664672400,11.2,0.0
1664676000,10.9,0.0
1664679600,10.9,0.0
1664683200,10.6,0.0
1664686800,10.4,0.0
1664690400,10.2,0.0
1664694000,10.5,0.013
1664697600,11.6,0.086
1664701200,12.9,0.195
1664704800,14.2,0.403
1664708400,15.1,0.474
1664712000,15.4,0.502
1664715600,15.4,0.243
1664719200,15.7,0.26
1664722800,15.6,0.252
1664726400,14.9,0.108
1664730000,13.7,0.119
1664733600,11.3,0.015
1664737200,10.3,0.0
1664740800,8.7,0.0
1664744400,8.1,0.0
1664748000,7.4,0.0
1664751600,7.1,0.0
1664755200,6.8,0.0
1664758800,8.3,0.0
1664762400,6.5,0.0
1664766000,7.4,0.0
1664769600,8.1,0.0
1664773200,8.1,0.0
1664776800,8.1,0.0
1664780400,8.9,0.012
1664784000,10.4,0.081
1664787600,12.0,0.182
1664791200,13.4,0.294
1664794800,14.9,0.424
1664798400,15.8,0.472
1664802000,16.6,0.469
1664805600,16.4,0.232
1664809200,16.0,0.115
1664812800,16.0,0.124
1664816400,15.3,0.085
1664820000,14.3,0.011
1664823600,13.9,0.0
1664827200,12.9,0.0
1664830800,12.4,0.0
1664834400,12.6,0.0
1664838000,13.1,0.0
1664841600,13.6,0.0
1664845200,13.6,0.0
1664848800,13.4,0.0
1664852400,13.3,0.0
1664856000,13.1,0.0
1664859600,12.9,0.0
1664863200,12.6,0.0
1664866800,12.8,0.008
1664870400,13.4,0.03
1664874000,14.2,0.08
1664877600,15.5,0.113
1664881200,17.3,0.244
1664884800,17.0,0.19
1664888400,16.8,0.11
1664892000,17.2,0.214
1664895600,17.1,0.119
1664899200,16.6,0.018
1664902800,16.4,0.013
1664906400,15.9,0.002
1664910000,15.5,0.0
1664913600,15.3,0.0
1664917200,15.0,0.0
1664920800,15.0,0.0
1664924400,15.1,0.0
1664928000,14.9,0.0
1664931600,15.1,0.0
1664935200,15.1,0.0
1664938800,15.2,0.0
1664942400,15.4,0.0
1664946000,15.8,0.0
1664949600,15.9,0.0
1664953200,15.9,0.006
1664956800,15.8,0.02
1664960400,15.8,0.029
1664964000,15.9,0.049
1664967600,15.6,0.036
1664971200,13.1,0.047
1664974800,13.1,0.044
1664978400,12.8,0.05
1664982000,13.6,0.184
1664985600,13.1,0.209
1664989200,12.1,0.093
1664992800,11.2,0.01
1664996400,11.0,0.0
1665000000,10.7,0.0
1665003600,10.4,0.0
1665007200,10.1,0.0
1665010800,9.8,0.0
1665014400,9.7,0.0
1665018000,9.3,0.0
1665021600,9.1,0.0
1665025200,8.8,0.0
1665028800,8.4,0.0
1665032400,8.6,0.0
1665036000,8.8,0.0
1665039600,9.6,0.016
1665043200,11.6,0.125
1665046800,13.5,0.261
1665050400,14.7,0.36
1665054000,16.1,0.389
1665057600,16.6,0.373
1665061200,16.8,0.315
1665064800,16.9,0.361
1665068400,16.5,0.26
1665072000,15.9,0.16
1665075600,14.9,0.086
1665079200,13.8,0.007
1665082800,13.1,0.0
1665086400,12.6,0.0
1665090000,12.3,0.0
1665093600,12.5,0.0
1665097200,12.6,0.0
1665100800,12.9,0.0
1665104400,12.6,0.0
1665108000,11.9,0.0
1665111600,11.6,0.0
1665115200,11.4,0.0
1665118800,11.4,0.0
1665122400,11.5,0.0
1665126000,11.9,0.012
1665129600,13.3,0.107
1665133200,14.4,0.235
1665136800,15.4,0.292
1665140400,16.1,0.404
1665144000,16.4,0.349
1665147600,14.6,0.077
1665151200,13.9,0.092
1665154800,13.9,0.06
1665158400,14.0,0.159
1665162000,12.9,0.086
1665165600,11.6,0.006
1665169200,10.6,0.0
1665172800,10.3,0.0
1665176400,9.9,0.0
1665180000,9.5,0.0
1665183600,8.9,0.0
1665187200,8.7,0.0
1665190800,8.3,0.0
1665194400,7.9,0.0
1665198000,7.6,0.0
1665201600,7.6,0.0
1665205200,7.6,0.0
1665208800,7.4,0.0
1665212400,7.8,0.013
1665216000,9.4,0.118
1665219600,11.2,0.256
1665223200,12.4,0.377
1665226800,13.4,0.469
1665230400,14.2,0.506
1665234000,14.6,0.443
1665237600,14.6,0.349
1665241200,14.5,0.269
1665244800,13.9,0.156
1665248400,11.4,0.089
1665252000,9.2,0.005
1665255600,9.5,0.0
1665259200,8.9,0.0
1665262800,8.6,0.0
1665266400,8.0,0.0
1665270000,7.6,0.0
1665273600,7.7,0.0
1665277200,7.2,0.0
1665280800,7.1,0.0
1665284400,6.8,0.0
1665288000,6.8,0.0
1665291600,6.6,0.0
1665295200,6.6,0.0
1665298800,7.1,0.012
1665302400,8.9,0.116
1665306000,11.1,0.252
1665309600,13.4,0.37
1665313200,15.2,0.453
1665316800,15.5,0.482
1665320400,16.0,0.339
1665324000,16.3,0.328
1665327600,16.1,0.237
1665331200,14.9,0.101
1665334800,13.9,0.057
1665338400,12.9,0.004
1665342000,12.2,0.0
1665345600,11.4,0.0
1665349200,10.6,0.0
1665352800,10.3,0.0
1665356400,10.8,0.0
1665360000,10.4,0.0
1665363600,10.7,0.0
1665367200,10.8,0.0
1665370800,10.6,0.0
1665374400,10.1,0.0
1665378000,9.9,0.0
1665381600,9.2,0.0
1665385200,8.1,0.011
1665388800,9.1,0.114
1665392400,10.5,0.252
1665396000,11.8,0.371
1665399600,12.9,0.419
1665403200,13.6,0.475
1665406800,13.9,0.492
1665410400,13.9,0.433
1665414000,13.4,0.334
1665417600,12.6,0.209
1665421200,11.1,0.085
1665424800,9.6,0.003
1665428400,8.2,0.0
