timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1664582400,13.8,0.0
1664586000,13.6,0.0
1664589600,13.4,0.0
1664593200,13.3,0.0
1664596800,12.9,0.0
1664600400,12.9,0.0
1664604000,12.8,0.0
1664607600,13.2,0.019
1664611200,14.4,0.125
1664614800,15.6,0.227
1664618400,16.2,0.341
1664622000,16.6,0.442
1664625600,16.9,0.511
1664629200,16.8,0.521
1664632800,16.3,0.446
1664636400,16.2,0.364
1664640000,15.8,0.242
1664643600,15.4,0.112
1664647200,14.5,0.012
1664650800,14.2,0.0
1664654400,14.4,0.0
1664658000,14.5,0.0
1664661600,14.4,0.0
1664665200,13.9,0.0
1664668800,13.7,0.0
1664672400,13.5,0.0
1664676000,13.3,0.0
1664679600,12.4,0.0
1664683200,12.1,0.0
1664686800,12.3,0.0
1664690400,12.3,0.0
1664694000,12.2,0.003
1664697600,12.7,0.043
1664701200,13.9,0.149
1664704800,15.5,0.389
1664708400,16.7,0.5
1664712000,17.4,0.531
1664715600,17.8,0.47
1664719200,17.9,0.454
1664722800,17.6,0.401
1664726400,16.9,0.273
1664730000,15.2,0.144
1664733600,12.3,0.024
1664737200,11.4,0.0
1664740800,11.1,0.0
1664744400,10.8,0.0
1664748000,10.2,0.0
1664751600,10.1,0.0
1664755200,9.6,0.0
1664758800,9.6,0.0
1664762400,9.9,0.0
1664766000,9.6,0.0
1664769600,9.6,0.0
1664773200,9.8,0.0
1664776800,9.2,0.0
1664780400,10.3,0.01
1664784000,11.7,0.099
1664787600,13.1,0.216
1664791200,14.3,0.339
1664794800,15.7,0.455
1664798400,16.0,0.494
1664802000,16.3,0.315
1664805600,17.2,0.348
1664809200,17.1,0.313
1664812800,17.0,0.259
1664816400,16.1,0.11
1664820000,15.5,0.014
1664823600,15.1,0.0
1664827200,14.6,0.0
1664830800,14.0,0.0
1664834400,13.7,0.0
1664838000,13.6,0.0
1664841600,13.9,0.0
1664845200,13.5,0.0
1664848800,13.2,0.0
1664852400,12.9,0.0
1664856000,13.1,0.0
1664859600,13.8,0.0
1664863200,14.4,0.0
1664866800,15.2,0.005
1664870400,15.6,0.063
1664874000,16.5,0.195
1664877600,17.1,0.25
1664881200,18.1,0.329
1664884800,17.5,0.325
1664888400,18.1,0.201
1664892000,18.5,0.259
1664895600,17.8,0.094
1664899200,16.9,0.031
1664902800,16.4,0.013
1664906400,16.2,0.002
1664910000,16.2,0.0
1664913600,16.3,0.0
1664917200,16.2,0.0
1664920800,16.2,0.0
1664924400,16.3,0.0
1664928000,16.1,0.0
1664931600,16.1,0.0
1664935200,16.4,0.0
1664938800,16.4,0.0
1664942400,16.6,0.0
1664946000,16.4,0.0
1664949600,16.2,0.0
1664953200,16.2,0.004
1664956800,16.4,0.027
1664960400,16.5,0.035
1664964000,15.2,0.034
1664967600,14.9,0.082
1664971200,13.6,0.132
1664974800,13.6,0.223
1664978400,14.0,0.133
1664982000,14.2,0.26
1664985600,14.1,0.236
1664989200,13.4,0.126
1664992800,13.1,0.015
1664996400,12.9,0.0
1665000000,12.7,0.0
1665003600,12.4,0.0
1665007200,11.9,0.0
1665010800,11.6,0.0
1665014400,11.1,0.0
1665018000,10.2,0.0
1665021600,10.4,0.0
1665025200,11.2,0.0
1665028800,12.1,0.0
1665032400,13.0,0.0
1665036000,14.1,0.0
1665039600,13.9,0.009
1665043200,14.7,0.088
1665046800,15.5,0.188
1665050400,15.9,0.319
1665054000,16.2,0.348
1665057600,15.4,0.388
1665061200,15.6,0.189
1665064800,15.8,0.255
1665068400,15.8,0.267
1665072000,15.6,0.212
1665075600,15.1,0.099
1665079200,14.3,0.012
1665082800,14.1,0.0
1665086400,14.0,0.0
1665090000,13.9,0.0
1665093600,13.9,0.0
1665097200,13.6,0.0
1665100800,13.7,0.0
1665104400,13.5,0.0
1665108000,13.1,0.0
1665111600,13.1,0.0
1665115200,13.1,0.0
1665118800,13.3,0.0
1665122400,13.4,0.0
1665126000,13.6,0.007
1665129600,14.1,0.08
1665133200,14.9,0.197
1665136800,15.9,0.313
1665140400,16.5,0.36
1665144000,16.5,0.37
1665147600,16.0,0.322
1665151200,14.4,0.134
1665154800,14.6,0.094
1665158400,14.6,0.142
1665162000,13.9,0.106
1665165600,12.9,0.011
1665169200,12.2,0.0
1665172800,11.8,0.0
1665176400,11.4,0.0
1665180000,11.1,0.0
1665183600,10.3,0.0
1665187200,9.2,0.0
1665190800,8.4,0.0
1665194400,8.0,0.0
1665198000,7.7,0.0
1665201600,7.6,0.0
1665205200,7.5,0.0
1665208800,7.2,0.0
1665212400,7.4,0.01
1665216000,9.5,0.113
1665219600,11.9,0.256
1665223200,13.5,0.382
1665226800,14.4,0.474
1665230400,15.1,0.49
1665234000,15.2,0.439
1665237600,15.2,0.412
1665241200,15.1,0.354
1665244800,14.4,0.239
1665248400,12.6,0.102
1665252000,10.1,0.009
1665255600,9.2,0.0
