timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1664582400,14.4,0.0
1664586000,13.9,0.0
1664589600,12.9,0.0
1664593200,12.4,0.0
1664596800,11.8,0.0
1664600400,11.2,0.0
1664604000,10.9,0.0
1664607600,11.6,0.036
1664611200,13.2,0.163
1664614800,14.9,0.306
1664618400,16.4,0.429
1664622000,17.8,0.507
1664625600,17.8,0.544
1664629200,18.5,0.478
1664632800,18.5,0.386
1664636400,18.5,0.32
1664640000,18.0,0.23
1664643600,16.8,0.107
1664647200,15.4,0.012
1664650800,15.1,0.0
1664654400,14.9,0.0
1664658000,14.6,0.0
1664661600,14.2,0.0
1664665200,14.2,0.0
1664668800,14.1,0.0
1664672400,13.7,0.0
1664676000,13.4,0.0
1664679600,13.1,0.0
1664683200,13.1,0.0
1664686800,12.9,0.0
1664690400,12.8,0.0
1664694000,12.8,0.003
1664697600,13.1,0.03
1664701200,14.3,0.142
1664704800,15.3,0.222
1664708400,16.0,0.287
1664712000,16.9,0.476
1664715600,17.8,0.545
1664719200,18.0,0.405
1664722800,17.7,0.308
1664726400,17.2,0.208
1664730000,15.7,0.092
1664733600,12.6,0.01
1664737200,11.4,0.0
1664740800,10.2,0.0
1664744400,10.1,0.0
1664748000,9.9,0.0
1664751600,10.2,0.0
1664755200,9.9,0.0
1664758800,9.2,0.0
1664762400,8.7,0.0
1664766000,8.5,0.0
1664769600,8.2,0.0
1664773200,7.2,0.0
1664776800,6.6,0.0
1664780400,7.9,0.03
1664784000,10.4,0.138
1664787600,13.2,0.239
1664791200,15.3,0.241
1664794800,16.6,0.257
1664798400,17.2,0.212
1664802000,18.1,0.41
1664805600,17.6,0.204
1664809200,17.5,0.182
1664812800,16.9,0.125
1664816400,15.6,0.066
1664820000,13.1,0.008
1664823600,11.7,0.0
1664827200,11.9,0.0
1664830800,11.8,0.0
1664834400,11.8,0.0
1664838000,12.1,0.0
1664841600,13.2,0.0
1664845200,13.4,0.0
1664848800,13.8,0.0
1664852400,13.7,0.0
1664856000,14.4,0.0
1664859600,14.2,0.0
1664863200,13.4,0.0
1664866800,14.1,0.021
1664870400,15.4,0.097
1664874000,16.0,0.128
1664877600,16.1,0.142
1664881200,17.0,0.186
1664884800,17.2,0.227
1664888400,17.4,0.117
1664892000,18.1,0.285
1664895600,18.1,0.259
1664899200,17.9,0.14
1664902800,16.9,0.061
1664906400,16.0,0.005
1664910000,15.1,0.0
1664913600,15.0,0.0
1664917200,15.3,0.0
1664920800,15.4,0.0
1664924400,15.3,0.0
1664928000,15.9,0.0
1664931600,15.6,0.0
1664935200,15.4,0.0
1664938800,15.6,0.0
1664942400,15.4,0.0
1664946000,16.0,0.0
1664949600,16.2,0.0
1664953200,16.4,0.008
1664956800,16.9,0.051
1664960400,17.8,0.192
1664964000,18.6,0.224
1664967600,18.6,0.194
1664971200,18.2,0.254
1664974800,18.0,0.112
1664978400,17.6,0.116
1664982000,16.0,0.059
1664985600,15.5,0.075
1664989200,14.9,0.031
1664992800,13.6,0.006
1664996400,13.1,0.0
1665000000,12.6,0.0
1665003600,12.1,0.0
1665007200,11.6,0.0
1665010800,11.1,0.0
1665014400,10.9,0.0
1665018000,10.3,0.0
1665021600,9.2,0.0
1665025200,8.4,0.0
1665028800,8.1,0.0
1665032400,7.8,0.0
1665036000,7.8,0.0
1665039600,8.7,0.026
1665043200,10.9,0.148
1665046800,13.4,0.287
1665050400,15.6,0.406
1665054000,16.8,0.49
1665057600,17.4,0.538
1665061200,17.4,0.299
1665064800,17.8,0.329
1665068400,18.0,0.324
1665072000,17.4,0.197
1665075600,15.8,0.084
1665079200,14.0,0.005
1665082800,13.2,0.0
1665086400,12.8,0.0
1665090000,12.4,0.0
1665093600,12.3,0.0
1665097200,12.2,0.0
1665100800,12.6,0.0
1665104400,12.4,0.0
1665108000,12.1,0.0
1665111600,12.1,0.0
1665115200,12.0,0.0
1665118800,11.9,0.0
1665122400,11.8,0.0
1665126000,12.3,0.019
1665129600,13.9,0.113
1665133200,15.4,0.204
1665136800,16.8,0.35
1665140400,18.0,0.439
1665144000,17.5,0.336
1665147600,17.5,0.391
1665151200,18.2,0.398
1665154800,18.0,0.327
1665158400,17.3,0.191
1665162000,16.4,0.053
1665165600,15.3,0.002
1665169200,14.8,0.0
1665172800,13.3,0.0
1665176400,12.3,0.0
1665180000,11.6,0.0
1665183600,10.9,0.0
1665187200,10.1,0.0
1665190800,9.3,0.0
1665194400,8.9,0.0
1665198000,8.4,0.0
1665201600,7.8,0.0
1665205200,7.4,0.0
1665208800,6.9,0.0
1665212400,7.8,0.022
1665216000,9.8,0.141
1665219600,11.6,0.283
1665223200,13.2,0.403
1665226800,14.4,0.488
1665230400,15.1,0.528
1665234000,15.8,0.441
1665237600,16.0,0.403
1665241200,16.0,0.326
1665244800,15.6,0.211
1665248400,12.9,0.074
1665252000,11.1,0.003
1665255600,9.8,0.0
1665259200,9.8,0.0
1665262800,9.1,0.0
1665266400,8.1,0.0
1665270000,7.2,0.0
1665273600,6.7,0.0
1665277200,5.5,0.0
1665280800,5.7,0.0
1665284400,6.9,0.0
1665288000,7.7,0.0
1665291600,8.0,0.0
1665295200,7.8,0.0
1665298800,8.7,0.02
1665302400,11.3,0.138
1665306000,13.9,0.28
1665309600,15.4,0.402
1665313200,16.4,0.47
1665316800,17.1,0.507
1665320400,17.5,0.502
1665324000,17.3,0.451
1665327600,16.7,0.332
1665331200,15.7,0.207
1665334800,13.7,0.07
1665338400,12.1,0.002
1665342000,11.0,0.0
1665345600,10.1,0.0
1665349200,10.1,0.0
1665352800,10.2,0.0
1665356400,10.9,0.0
1665360000,11.4,0.0
1665363600,11.1,0.0
1665367200,12.0,0.0
1665370800,11.6,0.0
1665374400,11.4,0.0
1665378000,12.2,0.0
1665381600,12.1,0.0
1665385200,12.2,0.003
1665388800,11.7,0.026
1665392400,12.0,0.1
1665396000,12.3,0.094
1665399600,14.2,0.39
1665403200,15.2,0.526
1665406800,15.8,0.506
1665410400,16.1,0.439
1665414000,15.5,0.342
1665417600,14.9,0.213
1665421200,12.5,0.076
1665424800,10.0,0.002
1665428400,9.6,0.0
1665432000,9.0,0.0
1665435600,8.4,0.0
1665439200,7.4,0.0
1665442800,6.2,0.0
1665446400,6.3,0.0
1665450000,5.3,0.0
1665453600,6.9,0.0
1665457200,6.9,0.0
1665460800,6.6,0.0
1665464400,6.0,0.0
1665468000,5.2,0.0
1665471600,4.8,0.016
1665475200,7.2,0.126
1665478800,9.4,0.264
1665482400,11.5,0.385
1665486000,13.1,0.47
1665489600,13.8,0.509
1665493200,14.5,0.48
1665496800,14.6,0.425
1665500400,14.6,0.329
1665504000,14.2,0.207
1665507600,13.6,0.062
1665511200,12.9,0.001
1665514800,9.6,0.0
1665518400,7.8,0.0
1665522000,6.6,0.0
1665525600,6.2,0.0
1665529200,5.7,0.0
1665532800,6.2,0.0
1665536400,5.8,0.0
1665540000,6.7,0.0
1665543600,5.8,0.0
1665547200,6.0,0.0
1665550800,7.6,0.0
1665554400,5.9,0.0
1665558000,8.1,0.012
1665561600,10.8,0.074
1665565200,13.5,0.218
1665568800,15.4,0.366
1665572400,16.6,0.449
1665576000,15.9,0.289
1665579600,17.1,0.434
1665583200,16.5,0.193
1665586800,16.5,0.19
1665590400,16.0,0.128
1665594000,14.5,0.039
1665597600,13.9,0.0
1665601200,13.8,0.0
1665604800,13.4,0.0
1665608400,13.4,0.0
1665612000,13.1,0.0
1665615600,13.1,0.0
1665619200,12.9,0.0
1665622800,12.8,0.0
1665626400,12.2,0.0
1665630000,12.0,0.0
1665633600,12.0,0.0
1665637200,11.6,0.0
1665640800,11.8,0.0
1665644400,11.6,0.006
1665648000,12.4,0.1
1665651600,13.4,0.215
1665655200,14.6,0.291
1665658800,15.7,0.356
1665662400,15.6,0.43
1665666000,16.1,0.347
1665669600,16.4,0.238
1665673200,16.3,0.144
1665676800,15.9,0.105
1665680400,14.4,0.044
1665684000,13.2,0.0
1665687600,13.4,0.0
1665691200,12.6,0.0
1665694800,11.2,0.0
1665698400,10.4,0.0
1665702000,10.1,0.0
1665705600,9.2,0.0
1665709200,9.1,0.0
1665712800,9.5,0.0
1665716400,9.9,0.0
1665720000,9.6,0.0
1665723600,10.1,0.0
1665727200,9.9,0.0
1665730800,11.3,0.005
1665734400,12.4,0.086
1665738000,13.1,0.077
1665741600,14.1,0.082
1665745200,14.6,0.081
1665748800,14.9,0.07
1665752400,15.1,0.097
1665756000,14.6,0.042
1665759600,14.4,0.028
1665763200,13.9,0.016
1665766800,13.6,0.006
1665770400,12.9,0.0
1665774000,12.0,0.0
1665777600,11.2,0.0
1665781200,10.8,0.0
1665784800,10.1,0.0
1665788400,9.5,0.0
1665792000,8.9,0.0
1665795600,7.6,0.0
1665799200,7.4,0.0
1665802800,8.2,0.0
1665806400,8.9,0.0
1665810000,9.1,0.0
1665813600,9.9,0.0
1665817200,11.1,0.007
1665820800,12.5,0.021
1665824400,13.9,0.13
1665828000,15.2,0.364
1665831600,16.0,0.393
1665835200,14.6,0.351
1665838800,16.6,0.334
1665842400,16.5,0.296
1665846000,16.1,0.206
1665849600,15.1,0.138
1665853200,14.1,0.034
1665856800,12.9,0.0
1665860400,12.8,0.0
1665864000,12.8,0.0
1665867600,12.8,0.0
1665871200,12.6,0.0
1665874800,12.4,0.0
1665878400,13.3,0.0
1665882000,12.9,0.0
1665885600,12.6,0.0
1665889200,12.2,0.0
1665892800,11.6,0.0
1665896400,11.1,0.0
1665900000,10.4,0.0
1665903600,10.1,0.009
1665907200,11.6,0.106
1665910800,13.4,0.24
1665914400,14.8,0.341
1665918000,15.9,0.399
1665921600,15.9,0.467
1665925200,16.3,0.33
1665928800,16.1,0.133
1665932400,16.5,0.136
1665936000,15.1,0.043
1665939600,14.4,0.009
1665943200,14.2,0.0
1665946800,14.3,0.0
1665950400,14.7,0.0
1665954000,14.9,0.0
1665957600,15.1,0.0
1665961200,15.2,0.0
1665964800,16.1,0.0
1665968400,16.0,0.0
1665972000,15.6,0.0
1665975600,15.1,0.0
1665979200,15.3,0.0
1665982800,15.2,0.0
1665986400,15.1,0.0
1665990000,15.1,0.001
1665993600,15.4,0.036
1665997200,15.8,0.126
1666000800,16.2,0.229
1666004400,16.8,0.271
1666008000,18.0,0.354
1666011600,18.0,0.293
1666015200,18.1,0.316
1666018800,18.0,0.256
1666022400,17.0,0.136
1666026000,14.3,0.035
1666029600,13.5,0.0
1666033200,13.1,0.0
1666036800,11.8,0.0
1666040400,11.1,0.0
1666044000,10.0,0.0
1666047600,8.9,0.0
1666051200,8.7,0.0
1666054800,8.1,0.0
1666058400,8.3,0.0
1666062000,7.3,0.0
1666065600,8.1,0.0
1666069200,6.6,0.0
1666072800,6.3,0.0
1666076400,6.7,0.005
1666080000,7.8,0.071
1666083600,9.7,0.183
1666087200,12.4,0.315
1666090800,14.9,0.43
1666094400,16.4,0.468
1666098000,17.1,0.455
1666101600,17.4,0.396
1666105200,17.0,0.295
1666108800,15.8,0.167
1666112400,13.3,0.038
1666116000,12.2,0.0
1666119600,11.8,0.0
1666123200,11.7,0.0
1666126800,11.9,0.0
1666130400,12.1,0.0
1666134000,12.0,0.0
1666137600,11.6,0.0
1666141200,11.6,0.0
1666144800,11.8,0.0
1666148400,11.9,0.0
1666152000,11.9,0.0
1666155600,11.9,0.0
1666159200,11.9,0.0
1666162800,12.1,0.005
1666166400,13.3,0.08
1666170000,14.5,0.206
1666173600,15.4,0.296
1666177200,16.1,0.376
1666180800,15.9,0.321
1666184400,16.1,0.306
1666188000,15.6,0.284
1666191600,14.9,0.27
1666195200,14.8,0.133
1666198800,15.0,0.03
1666202400,14.9,0.0
1666206000,15.1,0.0
1666209600,15.4,0.0
1666213200,15.4,0.0
1666216800,15.2,0.0
1666220400,14.9,0.0
1666224000,14.2,0.0
1666227600,13.9,0.0
1666231200,13.8,0.0
1666234800,13.6,0.0
1666238400,13.6,0.0
1666242000,13.6,0.0
1666245600,13.6,0.0
1666249200,13.2,0.001
1666252800,14.1,0.011
1666256400,14.4,0.015
1666260000,14.1,0.024
1666263600,16.4,0.313
1666267200,15.8,0.074
1666270800,16.4,0.196
1666274400,16.6,0.252
1666278000,16.1,0.215
1666281600,15.4,0.137
1666285200,13.9,0.028
1666288800,12.6,0.0
1666292400,11.5,0.0
1666296000,11.2,0.0
1666299600,10.6,0.0
1666303200,10.3,0.0
1666306800,10.1,0.0
1666310400,12.0,0.0
1666314000,12.6,0.0
1666317600,12.0,0.0
1666321200,11.7,0.0
1666324800,11.6,0.0
1666328400,12.2,0.0
1666332000,13.9,0.0
1666335600,14.2,0.003
1666339200,15.6,0.059
1666342800,17.0,0.17
1666346400,16.3,0.242
1666350000,16.6,0.115
1666353600,17.2,0.298
1666357200,17.3,0.296
1666360800,17.6,0.201
1666364400,16.8,0.183
1666368000,16.6,0.088
1666371600,16.8,0.016
1666375200,15.4,0.0
1666378800,15.1,0.0
1666382400,14.6,0.0
1666386000,14.4,0.0
1666389600,14.6,0.0
1666393200,14.8,0.0
1666396800,14.6,0.0
1666400400,14.4,0.0
1666404000,14.2,0.0
1666407600,13.9,0.0
1666411200,13.4,0.0
1666414800,12.6,0.0
1666418400,12.1,0.0
1666422000,11.9,0.003
1666425600,12.9,0.078
1666429200,14.2,0.191
1666432800,15.7,0.304
1666436400,16.9,0.378
1666440000,17.4,0.336
1666443600,17.5,0.302
1666447200,17.5,0.207
1666450800,17.0,0.171
1666454400,16.2,0.087
1666458000,15.0,0.014
1666461600,13.9,0.0
1666465200,14.2,0.0
1666468800,14.4,0.0
1666472400,14.0,0.0
1666476000,13.8,0.0
1666479600,14.4,0.0
1666483200,14.6,0.0
1666486800,14.2,0.0
1666490400,14.4,0.0
1666494000,14.3,0.0
1666497600,14.5,0.0
1666501200,14.6,0.0
1666504800,14.6,0.0
1666508400,14.8,0.001
1666512000,14.9,0.011
1666515600,15.2,0.04
1666519200,15.6,0.075
1666522800,16.2,0.111
1666526400,17.4,0.254
1666530000,18.2,0.187
1666533600,18.4,0.259
1666537200,17.8,0.161
1666540800,17.0,0.046
1666544400,16.3,0.012
1666548000,15.4,0.0
1666551600,14.9,0.0
1666555200,13.9,0.0
1666558800,13.2,0.0
1666562400,13.7,0.0
1666566000,13.6,0.0
1666569600,14.0,0.0
1666573200,14.6,0.0
1666576800,13.7,0.0
1666580400,13.2,0.0
1666584000,12.2,0.0
1666587600,12.2,0.0
1666591200,12.1,0.0
1666594800,11.5,0.002
1666598400,12.3,0.057
1666602000,13.5,0.183
1666605600,15.1,0.302
1666609200,16.5,0.379
1666612800,17.1,0.357
1666616400,17.4,0.29
1666620000,14.6,0.204
1666623600,14.1,0.095
1666627200,14.6,0.086
1666630800,13.4,0.017
1666634400,12.5,0.0
1666638000,12.3,0.0
1666641600,11.9,0.0
1666645200,11.9,0.0
1666648800,11.8,0.0
1666652400,11.4,0.0
1666656000,11.9,0.0
1666659600,11.7,0.0
1666663200,11.3,0.0
1666666800,11.1,0.0
1666670400,11.1,0.0
1666674000,10.9,0.0
1666677600,10.3,0.0
1666681200,10.4,0.001
1666684800,12.1,0.066
1666688400,14.0,0.184
1666692000,15.8,0.281
1666695600,16.7,0.326
1666699200,16.4,0.302
1666702800,16.8,0.308
1666706400,16.9,0.257
1666710000,16.5,0.194
1666713600,15.5,0.098
1666717200,14.0,0.013
1666720800,13.4,0.0
1666724400,13.6,0.0
1666728000,14.1,0.0
1666731600,14.8,0.0
1666735200,15.2,0.0
1666738800,15.4,0.0
1666742400,15.3,0.0
1666746000,15.3,0.0
1666749600,15.4,0.0
1666753200,14.9,0.0
1666756800,14.9,0.0
1666760400,15.2,0.0
1666764000,15.7,0.0
1666767600,14.9,0.001
1666771200,16.0,0.058
1666774800,16.8,0.131
1666778400,16.8,0.07
1666782000,18.2,0.32
1666785600,18.7,0.321
1666789200,18.7,0.371
1666792800,18.3,0.301
1666796400,17.7,0.204
1666800000,16.8,0.107
1666803600,15.6,0.016
1666807200,15.0,0.0
1666810800,14.4,0.0
1666814400,14.0,0.0
1666818000,13.5,0.0
1666821600,13.0,0.0
1666825200,11.9,0.0
1666828800,13.3,0.0
1666832400,14.1,0.0
1666836000,14.2,0.0
1666839600,14.4,0.0
1666843200,14.1,0.0
1666846800,14.7,0.0
1666850400,14.5,0.0
1666854000,15.5,0.0
1666857600,15.8,0.021
1666861200,15.8,0.05
1666864800,16.4,0.045
1666868400,19.0,0.316
1666872000,20.1,0.357
1666875600,20.0,0.249
1666879200,20.1,0.179
1666882800,19.9,0.209
1666886400,18.6,0.088
1666890000,17.5,0.012
1666893600,16.9,0.0
1666897200,16.6,0.0
1666900800,16.1,0.0
1666904400,15.6,0.0
1666908000,15.6,0.0
1666911600,15.6,0.0
1666915200,15.4,0.0
1666918800,15.1,0.0
1666922400,14.1,0.0
1666926000,14.8,0.0
1666929600,15.4,0.0
1666933200,15.9,0.0
1666936800,16.8,0.0
1666940400,17.2,0.0
1666944000,17.1,0.026
1666947600,17.6,0.094
1666951200,17.5,0.128
1666954800,17.3,0.258
1666958400,18.0,0.337
1666962000,18.4,0.349
1666965600,18.0,0.253
1666969200,17.5,0.21
1666972800,16.2,0.11
1666976400,14.2,0.013
1666980000,13.2,0.0
1666983600,12.2,0.0
1666987200,11.6,0.0
1666990800,10.5,0.0
1666994400,10.6,0.0
1666998000,10.5,0.0
1667001600,11.8,0.0
1667005200,11.7,0.0
1667008800,12.6,0.0
1667012400,12.9,0.0
1667016000,13.5,0.0
1667019600,13.8,0.0
1667023200,14.1,0.0
1667026800,14.6,0.0
1667030400,15.8,0.031
1667034000,16.9,0.04
1667037600,18.1,0.12
1667041200,19.8,0.254
1667044800,20.5,0.273
1667048400,21.1,0.229
1667052000,21.3,0.259
1667055600,20.9,0.213
1667059200,19.5,0.09
1667062800,18.4,0.011
1667066400,17.8,0.0
1667070000,16.9,0.0
1667073600,16.8,0.0
1667077200,15.9,0.0
1667080800,16.0,0.0
1667084400,15.2,0.0
1667088000,15.2,0.0
1667091600,14.6,0.0
1667095200,14.9,0.0
1667098800,13.9,0.0
1667102400,13.4,0.0
1667106000,13.6,0.0
1667109600,14.2,0.0
1667113200,14.6,0.0
1667116800,14.9,0.007
1667120400,15.2,0.06
1667124000,15.3,0.066
1667127600,14.7,0.055
1667131200,14.2,0.081
1667134800,14.6,0.086
1667138400,15.4,0.126
1667142000,15.6,0.146
1667145600,15.1,0.084
1667149200,14.4,0.009
1667152800,14.0,0.0
1667156400,13.4,0.0
1667160000,12.9,0.0
1667163600,12.4,0.0
1667167200,12.1,0.0
1667170800,11.8,0.0
1667174400,13.3,0.0
1667178000,12.8,0.0
1667181600,12.2,0.0
1667185200,12.1,0.0
1667188800,12.1,0.0
1667192400,11.6,0.0
1667196000,11.6,0.0
1667199600,11.6,0.0
1667203200,12.7,0.046
1667206800,14.6,0.162
1667210400,15.8,0.26
1667214000,16.6,0.297
1667217600,17.0,0.372
1667221200,16.8,0.267
1667224800,15.9,0.16
1667228400,15.4,0.115
1667232000,14.4,0.042
1667235600,14.1,0.003
1667239200,14.4,0.0
1667242800,15.2,0.0
1667246400,15.6,0.0
1667250000,15.1,0.0
1667253600,14.9,0.0
1667257200,14.2,0.0
1667260800,13.1,0.0
1667264400,12.4,0.0
1667268000,12.6,0.0
1667271600,12.4,0.0
1667275200,12.0,0.0
1667278800,12.1,0.0
1667282400,12.4,0.0
1667286000,12.9,0.0
1667289600,13.4,0.039
1667293200,13.7,0.064
1667296800,14.4,0.162
1667300400,14.6,0.231
1667304000,13.6,0.26
1667307600,14.6,0.142
1667311200,13.4,0.218
1667314800,13.0,0.166
1667318400,12.4,0.073
1667322000,11.8,0.004
1667325600,11.1,0.0
1667329200,11.1,0.0
1667332800,10.6,0.0
1667336400,10.4,0.0
1667340000,10.2,0.0
1667343600,10.2,0.0
1667347200,11.0,0.0
1667350800,10.6,0.0
1667354400,10.4,0.0
1667358000,10.1,0.0
1667361600,9.6,0.0
1667365200,8.9,0.0
1667368800,8.4,0.0
1667372400,8.4,0.0
1667376000,9.4,0.042
1667379600,11.6,0.157
1667383200,14.2,0.265
1667386800,15.2,0.332
1667390400,13.8,0.256
1667394000,14.1,0.223
1667397600,14.3,0.192
1667401200,14.0,0.106
1667404800,13.7,0.065
1667408400,14.0,0.005
1667412000,14.6,0.0
1667415600,13.6,0.0
1667419200,12.9,0.0
1667422800,12.6,0.0
1667426400,12.8,0.0
1667430000,12.6,0.0
1667433600,12.9,0.0
1667437200,12.7,0.0
1667440800,12.6,0.0
1667444400,12.2,0.0
1667448000,12.6,0.0
1667451600,13.2,0.0
1667455200,13.0,0.0
1667458800,12.1,0.0
1667462400,11.2,0.002
1667466000,11.1,0.018
1667469600,11.1,0.048
1667473200,11.2,0.097
1667476800,11.4,0.157
1667480400,10.7,0.102
1667484000,10.2,0.03
1667487600,10.3,0.071
1667491200,9.8,0.067
1667494800,8.4,0.006
1667498400,7.1,0.0
1667502000,6.7,0.0
1667505600,6.1,0.0
1667509200,5.6,0.0
