timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1663200000,10.4,0.0
1663203600,10.2,0.0
1663207200,10.1,0.0
1663210800,11.2,0.0
1663214400,11.4,0.0
1663218000,11.6,0.0
1663221600,11.6,0.0
1663225200,11.5,0.021
1663228800,12.1,0.067
1663232400,13.1,0.196
1663236000,14.3,0.352
1663239600,14.6,0.345
1663243200,15.2,0.34
1663246800,15.3,0.469
1663250400,15.2,0.447
1663254000,15.1,0.393
1663257600,14.6,0.321
1663261200,13.9,0.208
1663264800,12.8,0.085
1663268400,11.6,0.01
1663272000,10.9,0.0
1663275600,10.4,0.0
1663279200,10.1,0.0
1663282800,9.9,0.0
1663286400,10.1,0.0
1663290000,9.9,0.0
1663293600,9.4,0.0
1663297200,9.2,0.0
1663300800,9.2,0.0
1663304400,9.2,0.0
1663308000,9.2,0.0
1663311600,9.6,0.037
1663315200,11.2,0.162
1663318800,12.4,0.304
1663322400,13.2,0.421
1663326000,13.9,0.499
1663329600,14.2,0.599
1663333200,14.2,0.438
1663336800,14.4,0.486
1663340400,13.9,0.31
1663344000,13.6,0.274
1663347600,12.7,0.215
1663351200,11.6,0.108
1663354800,10.6,0.01
1663358400,9.6,0.0
1663362000,8.9,0.0
1663365600,8.4,0.0
1663369200,8.2,0.0
1663372800,9.5,0.0
1663376400,9.5,0.0
1663380000,9.1,0.0
1663383600,8.3,0.0
1663387200,8.6,0.0
1663390800,9.1,0.0
1663394400,8.6,0.0
1663398000,8.4,0.033
1663401600,10.2,0.137
1663405200,11.8,0.255
1663408800,13.1,0.397
1663412400,13.6,0.365
1663416000,13.8,0.285
1663419600,13.9,0.253
1663423200,13.9,0.26
1663426800,13.9,0.258
1663430400,13.8,0.201
1663434000,13.4,0.15
1663437600,12.7,0.07
1663441200,11.2,0.008
1663444800,10.2,0.0
1663448400,9.9,0.0
1663452000,10.0,0.0
1663455600,9.7,0.0
1663459200,9.2,0.0
1663462800,8.5,0.0
1663466400,8.1,0.0
1663470000,8.3,0.0
1663473600,8.3,0.0
1663477200,8.4,0.0
1663480800,9.0,0.0
1663484400,9.6,0.019
1663488000,10.9,0.107
1663491600,11.8,0.132
1663495200,12.7,0.163
1663498800,14.6,0.377
1663502400,15.1,0.367
1663506000,14.9,0.264
1663509600,14.6,0.146
1663513200,14.6,0.135
1663516800,14.5,0.099
1663520400,14.1,0.051
1663524000,13.6,0.025
1663527600,13.1,0.002
1663531200,12.9,0.0
1663534800,12.5,0.0
1663538400,11.6,0.0
1663542000,11.1,0.0
1663545600,11.9,0.0
1663549200,11.9,0.0
1663552800,11.8,0.0
1663556400,11.6,0.0
1663560000,11.6,0.0
1663563600,11.4,0.0
1663567200,10.8,0.0
1663570800,11.1,0.02
1663574400,12.3,0.087
1663578000,13.8,0.175
1663581600,14.2,0.167
1663585200,15.1,0.256
1663588800,17.0,0.46
1663592400,17.4,0.457
1663596000,17.1,0.304
1663599600,16.4,0.174
1663603200,16.0,0.141
1663606800,15.8,0.096
1663610400,15.1,0.044
1663614000,14.2,0.003
1663617600,13.9,0.0
1663621200,13.6,0.0
1663624800,13.6,0.0
1663628400,12.9,0.0
1663632000,12.9,0.0
1663635600,12.8,0.0
1663639200,12.4,0.0
1663642800,12.0,0.0
1663646400,11.7,0.0
1663650000,12.1,0.0
1663653600,12.1,0.0
1663657200,12.4,0.018
1663660800,13.6,0.097
1663664400,14.8,0.173
1663668000,15.7,0.301
1663671600,16.5,0.412
1663675200,17.5,0.366
1663678800,17.3,0.238
1663682400,17.5,0.202
1663686000,17.5,0.175
1663689600,17.4,0.181
1663693200,16.8,0.13
1663696800,15.6,0.059
1663700400,14.3,0.003
1663704000,14.1,0.0
1663707600,13.9,0.0
1663711200,13.4,0.0
1663714800,13.1,0.0
1663718400,12.6,0.0
1663722000,13.3,0.0
1663725600,13.8,0.0
1663729200,12.6,0.0
1663732800,12.0,0.0
1663736400,12.4,0.0
1663740000,11.9,0.0
1663743600,11.8,0.024
1663747200,12.9,0.137
1663750800,14.1,0.249
1663754400,15.0,0.276
1663758000,15.3,0.253
1663761600,16.9,0.204
1663765200,17.1,0.311
1663768800,17.0,0.187
1663772400,17.5,0.299
1663776000,17.5,0.225
1663779600,17.1,0.128
1663783200,15.9,0.063
1663786800,15.4,0.003
1663790400,15.7,0.0
1663794000,15.4,0.0
1663797600,15.1,0.0
1663801200,14.8,0.0
1663804800,14.7,0.0
1663808400,14.5,0.0
1663812000,14.3,0.0
1663815600,14.4,0.0
1663819200,14.6,0.0
1663822800,14.7,0.0
1663826400,14.6,0.0
1663830000,14.4,0.003
1663833600,14.2,0.018
1663837200,13.8,0.031
1663840800,13.8,0.059
1663844400,14.2,0.108
1663848000,14.6,0.185
1663851600,15.2,0.203
1663855200,16.0,0.306
1663858800,16.5,0.36
