timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1663200000,10.6,0.0
1663203600,9.7,0.0
1663207200,9.1,0.0
1663210800,8.4,0.0
1663214400,8.1,0.0
1663218000,7.9,0.0
1663221600,7.8,0.001
1663225200,8.7,0.06
1663228800,10.1,0.182
1663232400,11.4,0.322
1663236000,12.6,0.448
1663239600,13.4,0.436
1663243200,13.9,0.368
1663246800,15.0,0.456
1663250400,15.1,0.393
1663254000,14.9,0.288
1663257600,14.4,0.24
1663261200,13.8,0.176
1663264800,12.8,0.071
1663268400,11.8,0.005
1663272000,11.1,0.0
1663275600,10.8,0.0
1663279200,9.9,0.0
1663282800,9.1,0.0
1663286400,9.1,0.0
1663290000,8.6,0.0
1663293600,7.9,0.0
1663297200,7.8,0.0
1663300800,7.5,0.0
1663304400,7.3,0.0
1663308000,6.9,0.0
1663311600,7.8,0.053
1663315200,9.0,0.165
1663318800,10.1,0.3
1663322400,11.0,0.401
1663326000,11.6,0.399
1663329600,12.6,0.437
1663333200,12.9,0.392
1663336800,13.1,0.373
1663340400,12.9,0.248
1663344000,12.8,0.233
1663347600,12.3,0.198
1663351200,11.3,0.083
1663354800,10.4,0.005
1663358400,9.9,0.0
1663362000,9.4,0.0
1663365600,8.9,0.0
1663369200,8.2,0.0
1663372800,7.9,0.0
1663376400,7.4,0.0
1663380000,7.2,0.0
1663383600,7.4,0.0
1663387200,8.3,0.0
1663390800,8.4,0.0
1663394400,7.8,0.0
1663398000,8.4,0.044
1663401600,9.6,0.143
1663405200,10.4,0.218
1663408800,11.6,0.326
1663412400,12.6,0.403
1663416000,13.1,0.325
1663419600,13.2,0.32
1663423200,13.6,0.284
1663426800,14.0,0.286
1663430400,13.6,0.199
1663434000,12.9,0.051
1663437600,12.4,0.014
1663441200,12.1,0.001
1663444800,11.8,0.0
1663448400,11.4,0.0
1663452000,10.9,0.0
1663455600,10.8,0.0
1663459200,10.4,0.0
1663462800,10.6,0.0
1663466400,10.6,0.0
1663470000,10.4,0.0
1663473600,10.3,0.0
1663477200,10.3,0.0
1663480800,10.4,0.0
1663484400,10.7,0.021
1663488000,11.1,0.051
1663491600,11.8,0.117
