timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1664582400,12.1,0.0
1664586000,11.9,0.0
1664589600,11.6,0.0
1664593200,11.9,0.0
1664596800,11.4,0.0
1664600400,11.6,0.0
1664604000,11.2,0.0
1664607600,11.3,0.02
1664611200,12.4,0.097
1664614800,13.2,0.173
1664618400,14.5,0.261
1664622000,15.4,0.404
1664625600,15.1,0.458
1664629200,16.0,0.437
1664632800,16.4,0.372
1664636400,16.3,0.354
1664640000,15.6,0.213
1664643600,13.9,0.081
1664647200,13.0,0.014
1664650800,12.0,0.0
1664654400,12.1,0.0
1664658000,11.9,0.0
1664661600,11.9,0.0
1664665200,12.4,0.0
1664668800,12.4,0.0
1664672400,12.4,0.0
1664676000,11.7,0.0
1664679600,11.6,0.0
1664683200,11.2,0.0
1664686800,10.4,0.0
1664690400,9.9,0.0
1664694000,10.8,0.015
1664697600,12.5,0.113
1664701200,14.1,0.255
1664704800,14.9,0.311
1664708400,15.6,0.366
1664712000,15.5,0.38
1664715600,15.6,0.308
1664719200,15.6,0.279
1664722800,15.4,0.252
1664726400,14.9,0.185
1664730000,14.4,0.077
1664733600,13.2,0.01
1664737200,12.2,0.0
1664740800,9.8,0.0
1664744400,10.4,0.0
1664748000,11.2,0.0
1664751600,8.7,0.0
1664755200,9.1,0.0
1664758800,8.6,0.0
1664762400,8.4,0.0
1664766000,8.5,0.0
1664769600,8.4,0.0
1664773200,8.4,0.0
1664776800,7.9,0.0
1664780400,8.9,0.009
1664784000,10.7,0.048
1664787600,12.4,0.157
1664791200,14.5,0.349
1664794800,15.6,0.418
1664798400,14.6,0.435
1664802000,14.8,0.102
1664805600,15.9,0.25
1664809200,15.9,0.137
1664812800,16.0,0.129
1664816400,15.2,0.089
1664820000,14.2,0.012
1664823600,13.6,0.0
1664827200,13.4,0.0
1664830800,13.2,0.0
1664834400,12.9,0.0
1664838000,12.6,0.0
1664841600,12.1,0.0
1664845200,12.1,0.0
1664848800,12.8,0.0
1664852400,12.9,0.0
1664856000,13.8,0.0
1664859600,13.4,0.0
1664863200,13.6,0.0
1664866800,14.1,0.006
1664870400,14.9,0.06
1664874000,15.9,0.11
1664877600,16.5,0.134
1664881200,17.2,0.146
1664884800,16.8,0.058
1664888400,17.6,0.208
1664892000,16.4,0.06
1664895600,16.2,0.031
1664899200,16.1,0.013
1664902800,16.3,0.015
1664906400,16.2,0.003
1664910000,16.2,0.0
1664913600,16.1,0.0
1664917200,16.1,0.0
1664920800,16.0,0.0
1664924400,16.1,0.0
1664928000,15.9,0.0
1664931600,16.4,0.0
1664935200,16.5,0.0
1664938800,16.5,0.0
1664942400,16.4,0.0
1664946000,16.8,0.0
1664949600,16.8,0.0
1664953200,16.6,0.002
1664956800,16.3,0.01
1664960400,13.2,0.012
1664964000,13.1,0.027
1664967600,13.0,0.044
1664971200,12.1,0.037
1664974800,12.0,0.058
1664978400,13.1,0.138
1664982000,13.2,0.152
1664985600,12.4,0.11
1664989200,12.1,0.1
1664992800,11.6,0.009
1664996400,11.8,0.0
1665000000,11.7,0.0
1665003600,12.1,0.0
1665007200,11.9,0.0
1665010800,11.8,0.0
1665014400,11.4,0.0
1665018000,11.1,0.0
1665021600,10.6,0.0
1665025200,9.9,0.0
1665028800,9.5,0.0
1665032400,9.4,0.0
1665036000,9.6,0.0
1665039600,10.6,0.012
1665043200,12.4,0.093
1665046800,14.8,0.201
1665050400,16.0,0.256
1665054000,16.5,0.319
1665057600,15.4,0.355
1665061200,17.0,0.404
1665064800,17.1,0.382
1665068400,16.9,0.212
1665072000,16.6,0.181
1665075600,15.8,0.072
1665079200,15.1,0.006
1665082800,14.7,0.0
1665086400,14.4,0.0
1665090000,14.1,0.0
1665093600,14.0,0.0
1665097200,13.7,0.0
1665100800,13.9,0.0
1665104400,14.0,0.0
1665108000,13.9,0.0
1665111600,13.4,0.0
1665115200,13.2,0.0
1665118800,13.1,0.0
1665122400,13.3,0.0
1665126000,13.7,0.008
1665129600,14.4,0.081
1665133200,15.1,0.167
1665136800,15.0,0.113
1665140400,13.7,0.044
1665144000,13.4,0.041
1665147600,12.9,0.026
1665151200,13.2,0.072
1665154800,13.8,0.125
1665158400,13.2,0.196
1665162000,12.2,0.079
1665165600,11.3,0.006
1665169200,10.9,0.0
1665172800,10.9,0.0
1665176400,9.7,0.0
1665180000,9.9,0.0
1665183600,9.9,0.0
1665187200,9.7,0.0
1665190800,9.2,0.0
1665194400,9.4,0.0
1665198000,9.9,0.0
1665201600,9.6,0.0
1665205200,9.1,0.0
1665208800,8.9,0.0
1665212400,9.1,0.009
1665216000,10.6,0.089
1665219600,12.5,0.213
1665223200,13.6,0.321
1665226800,14.1,0.366
1665230400,14.1,0.395
1665234000,14.1,0.323
1665237600,14.1,0.285
1665241200,14.1,0.242
1665244800,13.7,0.191
1665248400,11.3,0.085
1665252000,9.7,0.005
1665255600,9.4,0.0
1665259200,7.4,0.0
1665262800,7.4,0.0
1665266400,7.1,0.0
1665270000,7.2,0.0
1665273600,7.8,0.0
1665277200,7.6,0.0
1665280800,7.8,0.0
1665284400,7.7,0.0
1665288000,7.9,0.0
1665291600,8.1,0.0
1665295200,7.9,0.0
1665298800,8.0,0.009
1665302400,9.8,0.105
1665306000,11.9,0.233
1665309600,13.2,0.325
1665313200,14.2,0.391
1665316800,14.6,0.395
1665320400,15.4,0.229
1665324000,15.8,0.217
1665327600,15.9,0.239
1665331200,15.6,0.144
1665334800,15.0,0.036
1665338400,14.6,0.001
1665342000,13.3,0.0
1665345600,12.9,0.0
1665349200,12.0,0.0
1665352800,11.4,0.0
1665356400,11.1,0.0
1665360000,11.3,0.0
1665363600,10.9,0.0
1665367200,10.4,0.0
1665370800,10.4,0.0
1665374400,9.2,0.0
1665378000,7.7,0.0
1665381600,6.7,0.0
1665385200,7.8,0.008
1665388800,10.2,0.094
1665392400,11.8,0.224
1665396000,12.1,0.299
1665399600,13.0,0.395
1665403200,13.3,0.438
1665406800,13.4,0.368
1665410400,13.6,0.323
1665414000,13.3,0.264
1665417600,12.7,0.17
1665421200,11.7,0.065
1665424800,10.1,0.003
1665428400,9.2,0.0
1665432000,8.2,0.0
1665435600,8.8,0.0
1665439200,8.7,0.0
1665442800,8.7,0.0
1665446400,8.9,0.0
1665450000,8.2,0.0
1665453600,8.2,0.0
1665457200,7.8,0.0
1665460800,7.2,0.0
1665464400,6.8,0.0
1665468000,6.9,0.0
1665471600,8.2,0.003
1665475200,8.8,0.037
1665478800,9.8,0.126
1665482400,11.6,0.277
1665486000,13.4,0.411
1665489600,13.2,0.314
1665493200,13.2,0.206
1665496800,12.9,0.097
1665500400,13.1,0.096
1665504000,12.9,0.082
1665507600,12.1,0.033
1665511200,11.3,0.002
1665514800,10.1,0.0
1665518400,9.5,0.0
1665522000,9.2,0.0
1665525600,8.6,0.0
1665529200,8.4,0.0
1665532800,9.4,0.0
1665536400,10.1,0.0
1665540000,10.0,0.0
1665543600,9.6,0.0
1665547200,9.8,0.0
1665550800,9.4,0.0
1665554400,10.1,0.0
1665558000,9.6,0.005
1665561600,10.8,0.029
1665565200,12.0,0.134
1665568800,12.4,0.071
1665572400,12.8,0.072
1665576000,12.8,0.224
1665579600,13.1,0.055
1665583200,13.6,0.104
1665586800,13.7,0.057
1665590400,13.4,0.028
1665594000,13.0,0.006
1665597600,12.9,0.0
1665601200,12.6,0.0
1665604800,12.3,0.0
1665608400,11.4,0.0
1665612000,11.2,0.0
1665615600,9.9,0.0
1665619200,10.1,0.0
1665622800,10.4,0.0
1665626400,9.9,0.0
1665630000,9.4,0.0
1665633600,8.6,0.0
1665637200,7.9,0.0
1665640800,7.2,0.0
1665644400,6.8,0.004
1665648000,7.8,0.079
1665651600,9.5,0.209
1665655200,10.8,0.32
1665658800,12.2,0.406
1665662400,13.3,0.462
1665666000,13.9,0.307
1665669600,14.4,0.348
1665673200,14.4,0.249
1665676800,14.2,0.143
1665680400,11.9,0.062
1665684000,10.8,0.001
1665687600,10.1,0.0
1665691200,9.9,0.0
1665694800,9.4,0.0
1665698400,9.1,0.0
1665702000,9.6,0.0
1665705600,11.2,0.0
1665709200,11.4,0.0
1665712800,11.4,0.0
1665716400,10.5,0.0
1665720000,10.6,0.0
1665723600,10.6,0.0
1665727200,11.0,0.0
1665730800,11.4,0.001
1665734400,11.8,0.026
1665738000,12.9,0.131
1665741600,14.1,0.279
1665745200,14.6,0.318
1665748800,14.8,0.146
1665752400,14.2,0.139
1665756000,13.5,0.077
1665759600,13.2,0.066
1665763200,12.1,0.029
1665766800,11.5,0.014
1665770400,10.4,0.001
1665774000,10.9,0.0
1665777600,10.4,0.0
1665781200,10.2,0.0
1665784800,9.6,0.0
1665788400,9.2,0.0
1665792000,9.6,0.0
1665795600,9.5,0.0
1665799200,10.7,0.0
1665802800,10.9,0.0
1665806400,10.6,0.0
1665810000,10.6,0.0
1665813600,10.9,0.0
1665817200,10.6,0.002
1665820800,10.8,0.004
1665824400,11.4,0.152
1665828000,12.6,0.27
1665831600,13.4,0.396
1665835200,13.6,0.401
1665838800,11.9,0.356
1665842400,12.6,0.2
1665846000,12.4,0.097
1665849600,11.7,0.073
1665853200,11.1,0.018
1665856800,11.2,0.0
1665860400,10.9,0.0
1665864000,10.6,0.0
1665867600,10.6,0.0
1665871200,10.9,0.0
1665874800,10.9,0.0
1665878400,11.1,0.0
1665882000,10.4,0.0
1665885600,10.2,0.0
1665889200,9.6,0.0
1665892800,8.9,0.0
1665896400,8.1,0.0
1665900000,7.8,0.0
1665903600,7.0,0.003
1665907200,7.9,0.074
1665910800,9.8,0.2
1665914400,11.1,0.303
1665918000,12.2,0.363
1665921600,13.1,0.414
1665925200,13.2,0.299
1665928800,13.0,0.22
1665932400,12.8,0.181
1665936000,12.4,0.127
1665939600,11.4,0.026
1665943200,11.6,0.0
1665946800,12.4,0.0
1665950400,12.8,0.0
1665954000,12.7,0.0
1665957600,13.1,0.0
1665961200,13.9,0.0
1665964800,14.3,0.0
1665968400,14.8,0.0
1665972000,14.4,0.0
1665975600,14.1,0.0
1665979200,13.6,0.0
1665982800,13.7,0.0
1665986400,13.1,0.0
1665990000,12.9,0.001
1665993600,13.1,0.054
1665997200,14.2,0.19
1666000800,15.1,0.301
1666004400,15.8,0.395
1666008000,16.5,0.408
1666011600,16.6,0.399
1666015200,16.1,0.364
1666018800,15.6,0.267
1666022400,14.7,0.168
1666026000,13.1,0.051
1666029600,11.6,0.0
1666033200,9.6,0.0
1666036800,9.3,0.0
1666040400,9.4,0.0
1666044000,8.6,0.0
1666047600,7.6,0.0
1666051200,8.6,0.0
1666054800,8.3,0.0
1666058400,7.6,0.0
1666062000,7.2,0.0
1666065600,8.1,0.0
1666069200,7.8,0.0
1666072800,6.1,0.0
1666076400,5.8,0.001
1666080000,7.8,0.063
1666083600,9.6,0.173
1666087200,11.4,0.282
1666090800,13.2,0.387
1666094400,14.4,0.435
1666098000,15.2,0.421
1666101600,15.9,0.354
1666105200,16.0,0.274
1666108800,14.6,0.165
1666112400,11.9,0.046
1666116000,10.8,0.0
1666119600,10.1,0.0
1666123200,10.1,0.0
1666126800,9.9,0.0
1666130400,10.0,0.0
1666134000,9.8,0.0
1666137600,8.6,0.0
1666141200,9.0,0.0
1666144800,9.9,0.0
1666148400,9.9,0.0
1666152000,9.9,0.0
1666155600,10.1,0.0
1666159200,10.1,0.0
1666162800,10.4,0.001
1666166400,11.0,0.046
1666170000,11.9,0.125
1666173600,12.9,0.197
1666177200,13.9,0.242
1666180800,14.2,0.203
1666184400,14.1,0.111
1666188000,14.4,0.195
1666191600,14.1,0.187
1666195200,13.4,0.087
1666198800,12.4,0.034
1666202400,11.9,0.0
1666206000,11.5,0.0
1666209600,11.2,0.0
1666213200,11.2,0.0
1666216800,11.6,0.0
1666220400,12.1,0.0
1666224000,11.8,0.0
1666227600,12.0,0.0
1666231200,12.2,0.0
1666234800,12.1,0.0
1666238400,12.3,0.0
1666242000,12.7,0.0
1666245600,12.4,0.0
1666249200,12.4,0.0
1666252800,12.8,0.024
1666256400,12.8,0.024
1666260000,13.2,0.053
1666263600,14.1,0.165
1666267200,13.4,0.041
1666270800,13.7,0.078
1666274400,13.9,0.063
1666278000,14.1,0.063
1666281600,14.0,0.046
1666285200,13.6,0.013
1666288800,13.1,0.0
1666292400,12.2,0.0
1666296000,11.6,0.0
1666299600,11.0,0.0
1666303200,11.0,0.0
1666306800,10.6,0.0
1666310400,10.5,0.0
1666314000,10.8,0.0
1666317600,10.8,0.0
1666321200,10.6,0.0
1666324800,10.7,0.0
1666328400,11.0,0.0
1666332000,11.6,0.0
1666335600,12.1,0.0
1666339200,12.8,0.042
1666342800,14.3,0.154
1666346400,15.0,0.19
1666350000,16.8,0.326
1666353600,17.0,0.286
1666357200,16.6,0.175
1666360800,16.6,0.189
1666364400,16.0,0.147
1666368000,15.3,0.07
1666371600,14.6,0.023
1666375200,14.3,0.0
1666378800,14.4,0.0
1666382400,14.0,0.0
1666386000,13.9,0.0
1666389600,14.3,0.0
1666393200,13.9,0.0
1666396800,13.2,0.0
1666400400,13.9,0.0
1666404000,13.7,0.0
1666407600,13.2,0.0
1666411200,13.1,0.0
1666414800,12.8,0.0
1666418400,12.1,0.0
1666422000,11.6,0.0
1666425600,11.9,0.047
1666429200,12.9,0.16
1666432800,14.1,0.277
1666436400,14.9,0.334
1666440000,15.6,0.377
1666443600,16.3,0.257
1666447200,16.5,0.209
1666450800,16.2,0.162
1666454400,15.5,0.104
1666458000,14.1,0.022
1666461600,13.3,0.0
1666465200,13.1,0.0
1666468800,13.2,0.0
1666472400,13.4,0.0
1666476000,13.4,0.0
1666479600,13.6,0.0
1666483200,12.6,0.0
1666486800,13.1,0.0
1666490400,12.9,0.0
1666494000,12.9,0.0
1666497600,13.2,0.0
1666501200,12.8,0.0
1666504800,13.0,0.0
1666508400,13.9,0.0
1666512000,14.0,0.009
1666515600,13.9,0.019
1666519200,14.4,0.061
1666522800,14.6,0.039
1666526400,14.4,0.104
1666530000,15.6,0.163
1666533600,15.6,0.137
1666537200,14.6,0.144
1666540800,14.6,0.062
1666544400,13.1,0.016
1666548000,12.8,0.0
1666551600,12.4,0.0
1666555200,10.9,0.0
1666558800,11.2,0.0
1666562400,11.6,0.0
1666566000,12.2,0.0
1666569600,11.1,0.0
1666573200,10.6,0.0
1666576800,10.9,0.0
1666580400,11.2,0.0
1666584000,11.6,0.0
1666587600,11.9,0.0
1666591200,11.9,0.0
1666594800,11.2,0.0
1666598400,11.1,0.024
1666602000,12.8,0.119
1666605600,13.5,0.149
1666609200,14.0,0.236
1666612800,14.9,0.235
1666616400,15.5,0.231
1666620000,14.3,0.152
1666623600,13.9,0.049
1666627200,14.0,0.056
1666630800,12.4,0.022
1666634400,11.9,0.0
1666638000,11.8,0.0
1666641600,12.1,0.0
1666645200,11.9,0.0
1666648800,11.7,0.0
1666652400,11.5,0.0
1666656000,11.5,0.0
1666659600,11.2,0.0
1666663200,11.1,0.0
1666666800,10.6,0.0
1666670400,10.4,0.0
1666674000,10.2,0.0
1666677600,10.1,0.0
1666681200,9.9,0.0
1666684800,10.7,0.03
1666688400,11.6,0.111
1666692000,12.9,0.216
1666695600,13.9,0.299
