timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1669852800,4.6,0.0
1669856400,5.0,0.0
1669860000,4.7,0.0
1669863600,4.3,0.0
1669867200,4.0,0.0
1669870800,3.1,0.0
1669874400,3.1,0.0
1669878000,3.1,0.0
1669881600,2.9,0.001
1669885200,3.4,0.036
1669888800,3.8,0.09
1669892400,4.7,0.14
1669896000,5.4,0.197
1669899600,6.6,0.175
1669903200,6.9,0.132
1669906800,6.8,0.061
1669910400,5.9,0.013
1669914000,5.6,0.0
1669917600,5.3,0.0
1669921200,5.4,0.0
1669924800,5.6,0.0
1669928400,5.6,0.0
1669932000,5.2,0.0
1669935600,5.2,0.0
1669939200,4.7,0.0
1669942800,4.4,0.0
1669946400,4.2,0.0
1669950000,4.0,0.0
1669953600,3.8,0.0
1669957200,3.7,0.0
1669960800,3.7,0.0
1669964400,4.0,0.0
1669968000,3.2,0.0
1669971600,4.6,0.03
1669975200,5.7,0.052
1669978800,6.2,0.055
1669982400,7.2,0.179
1669986000,7.6,0.154
1669989600,7.3,0.127
1669993200,6.9,0.081
1669996800,5.6,0.02
1670000400,4.8,0.0
1670004000,4.5,0.0
1670007600,4.2,0.0
1670011200,4.0,0.0
1670014800,4.8,0.0
1670018400,5.3,0.0
1670022000,5.3,0.0
1670025600,5.3,0.0
1670029200,5.2,0.0
1670032800,5.3,0.0
1670036400,5.4,0.0
1670040000,5.1,0.0
1670043600,5.2,0.0
1670047200,5.2,0.0
1670050800,5.4,0.0
1670054400,5.7,0.0
1670058000,6.2,0.01
1670061600,6.8,0.048
1670065200,7.4,0.154
1670068800,7.1,0.144
1670072400,7.2,0.061
1670076000,7.2,0.037
1670079600,6.8,0.017
1670083200,6.5,0.005
1670086800,6.2,0.0
1670090400,5.8,0.0
1670094000,5.7,0.0
1670097600,5.7,0.0
1670101200,5.6,0.0
1670104800,5.4,0.0
1670108400,5.1,0.0
1670112000,5.1,0.0
1670115600,4.9,0.0
1670119200,4.8,0.0
1670122800,4.9,0.0
1670126400,5.2,0.0
1670130000,5.1,0.0
1670133600,4.9,0.0
1670137200,4.8,0.0
1670140800,4.8,0.0
1670144400,4.9,0.01
1670148000,5.2,0.022
1670151600,5.2,0.046
1670155200,5.8,0.07
1670158800,5.9,0.083
1670162400,5.9,0.062
1670166000,5.8,0.039
1670169600,5.2,0.01
1670173200,5.0,0.0
1670176800,4.8,0.0
1670180400,4.6,0.0
1670184000,4.1,0.0
1670187600,4.2,0.0
1670191200,4.4,0.0
1670194800,4.6,0.0
1670198400,4.6,0.0
1670202000,4.7,0.0
1670205600,5.1,0.0
1670209200,5.4,0.0
1670212800,5.6,0.0
1670216400,5.8,0.0
1670220000,5.9,0.0
1670223600,5.9,0.0
1670227200,5.6,0.0
1670230800,5.8,0.026
1670234400,7.4,0.103
1670238000,8.1,0.148
1670241600,8.2,0.146
1670245200,8.0,0.089
1670248800,7.7,0.059
1670252400,7.4,0.028
1670256000,7.0,0.005
1670259600,6.9,0.0
1670263200,6.9,0.0
1670266800,6.8,0.0
1670270400,6.6,0.0
1670274000,6.2,0.0
1670277600,6.2,0.0
1670281200,5.9,0.0
1670284800,5.4,0.0
1670288400,4.8,0.0
1670292000,4.3,0.0
1670295600,4.2,0.0
