timestamp_unix,outdoor_temp_c,solar_irradiance_kw_m2
1663200000,10.4,0.0
1663203600,10.1,0.0
1663207200,10.5,0.0
1663210800,8.8,0.0
1663214400,8.3,0.0
1663218000,7.8,0.0
1663221600,7.6,0.002
1663225200,9.0,0.073
1663228800,11.0,0.209
1663232400,12.9,0.349
1663236000,14.0,0.469
1663239600,15.1,0.555
1663243200,14.6,0.493
1663246800,15.5,0.438
1663250400,15.4,0.359
1663254000,14.9,0.278
1663257600,14.5,0.209
1663261200,13.8,0.142
1663264800,12.1,0.065
1663268400,10.2,0.002
1663272000,9.8,0.0
1663275600,8.9,0.0
1663279200,8.9,0.0
1663282800,8.5,0.0
1663286400,9.0,0.0
1663290000,8.4,0.0
1663293600,7.9,0.0
1663297200,7.7,0.0
1663300800,7.8,0.0
1663304400,7.7,0.0
1663308000,7.7,0.001
1663311600,8.9,0.066
1663315200,10.4,0.192
1663318800,11.3,0.329
1663322400,12.3,0.445
1663326000,12.9,0.501
1663329600,13.4,0.556
1663333200,13.9,0.51
1663336800,13.5,0.423
1663340400,13.5,0.323
1663344000,13.4,0.291
1663347600,12.6,0.18
1663351200,11.4,0.069
1663354800,10.1,0.002
1663358400,9.2,0.0
1663362000,8.9,0.0
1663365600,8.1,0.0
1663369200,7.6,0.0
1663372800,7.3,0.0
1663376400,7.2,0.0
1663380000,7.2,0.0
1663383600,7.2,0.0
1663387200,7.1,0.0
1663390800,6.8,0.0
1663394400,6.8,0.001
1663398000,8.4,0.061
1663401600,10.6,0.188
1663405200,11.9,0.329
1663408800,13.3,0.437
1663412400,14.3,0.476
1663416000,14.2,0.422
1663419600,14.6,0.271
1663423200,15.2,0.39
1663426800,15.6,0.381
1663430400,15.1,0.257
1663434000,14.2,0.075
1663437600,12.9,0.06
1663441200,11.4,0.001
1663444800,11.2,0.0
1663448400,11.1,0.0
1663452000,10.8,0.0
1663455600,10.6,0.0
1663459200,9.8,0.0
1663462800,9.8,0.0
1663466400,9.9,0.0
1663470000,10.0,0.0
1663473600,10.1,0.0
1663477200,10.5,0.0
1663480800,10.6,0.0
1663484400,11.1,0.025
1663488000,11.8,0.075
1663491600,12.8,0.171
1663495200,13.8,0.242
1663498800,14.2,0.326
1663502400,13.8,0.308
1663506000,13.3,0.162
1663509600,13.8,0.319
1663513200,14.0,0.321
1663516800,13.1,0.125
1663520400,12.4,0.065
1663524000,11.5,0.031
1663527600,9.2,0.001
1663531200,10.7,0.0
1663534800,9.3,0.0
1663538400,9.1,0.0
1663542000,9.1,0.0
1663545600,10.0,0.0
1663549200,9.9,0.0
1663552800,10.1,0.0
1663556400,10.1,0.0
1663560000,10.1,0.0
1663563600,9.9,0.0
1663567200,9.9,0.0
1663570800,10.2,0.017
1663574400,11.1,0.074
1663578000,12.2,0.189
1663581600,12.9,0.251
1663585200,13.9,0.354
1663588800,14.1,0.312
